"","CODI_INE","barri","nivell_soroll_TVLDEN","sexe","edat","value"
"1","2-7-05","El Palau","65 - 69 dB","DONES","00-16",15
"2","2-7-05","El Palau","65 - 69 dB","DONES","17-29",10
"3","2-7-05","El Palau","65 - 69 dB","DONES","30-49",36
"4","2-7-05","El Palau","65 - 69 dB","DONES","50-69",9
"5","2-7-05","El Palau","65 - 69 dB","DONES","70",8
"6","2-7-05","El Palau","65 - 69 dB","HOMES","00-16",20
"7","2-7-05","El Palau","65 - 69 dB","HOMES","17-29",7
"8","2-7-05","El Palau","65 - 69 dB","HOMES","30-49",35
"9","2-7-05","El Palau","65 - 69 dB","HOMES","50-69",11
"10","2-7-05","El Palau","65 - 69 dB","HOMES","70",7
"11","1-2-11","Centre","70 - 74 dB","DONES","00-16",31
"12","1-2-11","Centre","70 - 74 dB","DONES","17-29",25
"13","1-2-11","Centre","70 - 74 dB","DONES","30-49",64
"14","1-2-11","Centre","70 - 74 dB","DONES","50-69",50
"15","1-2-11","Centre","70 - 74 dB","DONES","70",29
"16","1-2-11","Centre","70 - 74 dB","HOMES","00-16",27
"17","1-2-11","Centre","70 - 74 dB","HOMES","17-29",26
"18","1-2-11","Centre","70 - 74 dB","HOMES","30-49",54
"19","1-2-11","Centre","70 - 74 dB","HOMES","50-69",43
"20","1-2-11","Centre","70 - 74 dB","HOMES","70",26
"21","4-9-11","Cirera","55 - 59 dB","DONES","00-16",26
"22","4-9-11","Cirera","55 - 59 dB","DONES","17-29",17
"23","4-9-11","Cirera","55 - 59 dB","DONES","30-49",48
"24","4-9-11","Cirera","55 - 59 dB","DONES","50-69",44
"25","4-9-11","Cirera","55 - 59 dB","DONES","70",28
"26","4-9-11","Cirera","55 - 59 dB","HOMES","00-16",25
"27","4-9-11","Cirera","55 - 59 dB","HOMES","17-29",20
"28","4-9-11","Cirera","55 - 59 dB","HOMES","30-49",40
"29","4-9-11","Cirera","55 - 59 dB","HOMES","50-69",40
"30","4-9-11","Cirera","55 - 59 dB","HOMES","70",28
"31","4-9-10","Cirera","55 - 59 dB","DONES","00-16",32
"32","4-9-10","Cirera","55 - 59 dB","DONES","17-29",17
"33","4-9-10","Cirera","55 - 59 dB","DONES","30-49",53
"34","4-9-10","Cirera","55 - 59 dB","DONES","50-69",30
"35","4-9-10","Cirera","55 - 59 dB","DONES","70",21
"36","4-9-10","Cirera","55 - 59 dB","HOMES","00-16",34
"37","4-9-10","Cirera","55 - 59 dB","HOMES","17-29",16
"38","4-9-10","Cirera","55 - 59 dB","HOMES","30-49",50
"39","4-9-10","Cirera","55 - 59 dB","HOMES","50-69",34
"40","4-9-10","Cirera","55 - 59 dB","HOMES","70",14
"41","2-11-13","El Palau","65 - 69 dB","DONES","00-16",33
"42","2-11-13","El Palau","65 - 69 dB","DONES","17-29",7
